🎮游戏频道,#genre#
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
央视台球,http://139.209.36.233:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
央视台球,http://180.213.174.225:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
穿越火线,http://tc-tct.douyucdn2.cn:80/dyliveflv1/605964rzzgGEOZHr.flv?wsAuth=43ef2d796067cbec9c238c73235a1005&token=cpn-androidmpro-0-605964-b9be22700076c085e82232beb0fbe7838e28994acafb3964&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
穿越火线,http://tc-tct.douyucdn2.cn/dyliveflv1/605964rzzgGEOZHr.flv?wsAuth=61214f4d00c7624be82c4cbc0705f176&token=cpn-androidmpro-0-605964-b9be22700076c085d14d1a1f4c95f5cb7a25fd6cd0d99908&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
和平精英官方赛事,http://tc-tct.douyucdn2.cn/dyliveflv1/999rx47n2pp8pKD_2000.flv?wsAuth=292e7bf2f244d07902e7e0376dfce746&token=cpn-androidmpro-0-999-d32d75306aab2a79a1f3945ed9bc89884615020edef9ce9c&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
黑莓电竞[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225559/1.m3u8
金铲铲之战赛事,http://tc-tct.douyucdn2.cn/dyliveflv1a/9715241rdkExgDdB.flv?wsAuth=f5cf22bdff2f3dd36041ab8ac8845342&token=cpn-androidmpro-0-9715241-7cb2b838035e4b7a07f00cb4007f30ab3fa73882eef4c0ac&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
跑跑卡丁车官方,http://tc-tct.douyucdn2.cn/dyliveflv1/7722576rWHyhVf6Z_2000.flv?wsAuth=96e030f2d71e846f381d65ada71f17d6&token=cpn-androidmpro-0-7722576-6b878e1c279c4ee5485d5ebc43ef1f2ab6b1dd527e084834&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
QQ飞车手游官方,http://tc-tct.douyucdn2.cn/dyliveflv1a/5040227raXQRnvWY_2000.flv?wsAuth=ee1b870123031a58b047b5a2e9a4e050&token=cpn-androidmpro-0-5040227-432528579fe9471282c14838786c9f3c7096859cef81c052&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
王者荣耀,http://tc-tct.douyucdn2.cn/dyliveflv1a/1863767rkpl2_2000p.flv?wsAuth=f73077d85e523eb95b6ce1ea3581b46b&token=cpn-androidmpro-0-1863767-7b520f6fe0a2b18db3c111c4e3c14350afd2dcaf43d0ef60&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
游戏风云,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226579/index.m3u8
游戏风云,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226579/1.m3u8
CF手游,http://tc-tct.douyucdn2.cn/dyliveflv1/868191rjy69PsEAz_2000.flv?wsAuth=e3dd73247fce629138872d81de941629&token=cpn-androidmpro-0-868191-846aacab1859214cc6a4f302c13bf5157cb60a59722583d1&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
